wl,n,k
0.37,1.8937553148794222,5.4237e-06
0.48833333333333334,1.82714685501874,2.2166e-06
0.6066666666666667,1.8023045147079744,1.1068e-06
0.725,1.7895825733868478,6.2936e-07
0.8433333333333333,1.7818945237096582,4.9718e-07
0.9616666666666667,1.7766864298292608,2.8171e-07
1.08,1.7728282855251802,1.9327e-07
1.1983333333333333,1.7697509293680829,1.4616e-07
1.3166666666666667,1.7671401781044909,9.3406e-08
1.435,1.764810129683994,4.9357e-08
1.5533333333333332,1.7626445282209706,3.7298e-08
1.6716666666666669,1.760567251816403,4.3902e-08
1.79,1.7585264407152232,5.1035e-08
1.9083333333333332,1.7564854881252594,3.8205e-08
2.026666666666667,1.7544176911476248,1.3523e-08
2.145,1.7523029510314339,1.0834e-07
2.263333333333333,1.7501256691438016,9.4577e-07
2.381666666666667,1.747873365749312,3.9049e-06
2.5,1.7455357493648165,5.0522e-06
